"value","Variable"
-0.00224149726775726,"ENSG00000000003"
0.00593794260732051,"ENSG00000000005"
0.00139094854069849,"ENSG00000000419"
-0.000913963966468282,"ENSG00000000457"
-0.000498405998480885,"ENSG00000000460"
0.00124241383746169,"ENSG00000000938"
-0.00273458751480252,"ENSG00000000971"
0.00271223961083605,"ENSG00000001036"
-1.92871256861366e-06,"ENSG00000001084"
-0.00155744395732802,"ENSG00000001167"
-0.000655702269700738,"ENSG00000001460"
-0.00155788063753729,"ENSG00000001461"
-7.66258285828417e-05,"ENSG00000001497"
0.000939170910635599,"ENSG00000001561"
0.00152755309629334,"ENSG00000001617"
-0.00190700294483534,"ENSG00000001626"
0.0018199383032492,"ENSG00000001629"
-0.000211098144316158,"ENSG00000001630"
0.00187454271187192,"ENSG00000001631"
-0.00151760745451633,"ENSG00000002016"
-0.000173462355067438,"ENSG00000002330"
0.00300925097039324,"ENSG00000002549"
-0.00195171382277269,"ENSG00000002587"
0.0103350132485145,"ENSG00000002726"
0.0014184645304721,"ENSG00000002746"
-0.00622106646218166,"ENSG00000002822"
-0.0015952950173254,"ENSG00000002834"
-0.00241041464529234,"ENSG00000002919"
0.00191026917350752,"ENSG00000002933"
-4.52798704889546e-05,"ENSG00000003056"
-0.00154578272897544,"ENSG00000003096"
0.00390102682771878,"ENSG00000003137"
-0.00469619461193565,"ENSG00000003147"
0.00257415289487014,"ENSG00000003249"
0.000610892135750717,"ENSG00000003393"
0.00272311706405304,"ENSG00000003400"
0.000905864917705818,"ENSG00000003402"
-0.0017496372174811,"ENSG00000003436"
0.00209350259276243,"ENSG00000003509"
-2.67411389146119e-05,"ENSG00000003756"
-0.000935951569987419,"ENSG00000003987"
-0.000972032979304581,"ENSG00000003989"
0.000605960154754238,"ENSG00000004059"
-0.00131150335295602,"ENSG00000004139"
-0.00352094998289221,"ENSG00000004142"
-0.000609711244887945,"ENSG00000004399"
0.0030252253124205,"ENSG00000004455"
-0.000376098113238833,"ENSG00000004468"
3.22186599107435e-05,"ENSG00000004478"
0.00128451939463,"ENSG00000004487"
0.00127910644770629,"ENSG00000004534"
0.00156303694413479,"ENSG00000004660"
0.000263741726135473,"ENSG00000004700"
0.00195399684958668,"ENSG00000004766"
